name,xmm_pointed_MCXC_R500,xmm_pointed_0.3Mpc,xmm_pointed_0.5Mpc,xmm_pointed_1.0Mpc,xmm_pointed_2.0Mpc,chandra_MCXC_R500,chandra_0.3Mpc,chandra_0.5Mpc,chandra_1.0Mpc,chandra_2.0Mpc,rosat_pointed_pspc_MCXC_R500,rosat_pointed_pspc_0.3Mpc,rosat_pointed_pspc_0.5Mpc,rosat_pointed_pspc_1.0Mpc,rosat_pointed_pspc_2.0Mpc,rosat_pointed_hri_MCXC_R500,rosat_pointed_hri_0.3Mpc,rosat_pointed_hri_0.5Mpc,rosat_pointed_hri_1.0Mpc,rosat_pointed_hri_2.0Mpc,nustar_pointed_MCXC_R500,nustar_pointed_0.3Mpc,nustar_pointed_0.5Mpc,nustar_pointed_1.0Mpc,nustar_pointed_2.0Mpc,swift_xrt_MCXC_R500,swift_xrt_0.3Mpc,swift_xrt_0.5Mpc,swift_xrt_1.0Mpc,swift_xrt_2.0Mpc,asca_MCXC_R500,asca_0.3Mpc,asca_0.5Mpc,asca_1.0Mpc,asca_2.0Mpc,suzaku_MCXC_R500,suzaku_0.3Mpc,suzaku_0.5Mpc,suzaku_1.0Mpc,suzaku_2.0Mpc,erosita_all_sky_de_dr1_MCXC_R500,erosita_all_sky_de_dr1_0.3Mpc,erosita_all_sky_de_dr1_0.5Mpc,erosita_all_sky_de_dr1_1.0Mpc,erosita_all_sky_de_dr1_2.0Mpc
LoVoCCS-46B,0.94,1.0,1.0,0.92,0.52,0.6,0.76,0.69,0.6,0.45,1.0,1.0,1.0,1.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-46C,1.0,1.0,1.0,1.0,0.57,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-48A,0.99,1.0,1.0,0.99,0.69,0.78,1.0,0.97,0.77,0.26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.4,0.99,1.0,1.0,0.99,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-48B,0.97,1.0,1.0,0.97,0.69,0.76,1.0,0.98,0.76,0.28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.83,0.78,1.0,1.0,0.78,0.43,0.99,0.99,1.0,0.99,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-49,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,0.97,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-51,1.0,1.0,1.0,1.0,0.62,0.99,1.0,1.0,0.99,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-55,0.0,0.0,0.0,0.0,0.0,0.99,1.0,1.0,0.99,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-58,1.0,1.0,1.0,1.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-60A,1.0,1.0,1.0,1.0,0.78,1.0,1.0,1.0,0.99,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.58,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.72,0.0,0.0,0.0,0.0,0.0
LoVoCCS-60B,1.0,1.0,1.0,1.0,0.76,0.96,1.0,1.0,0.94,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.0,1.0,0.99,0.68,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.72,0.0,0.0,0.0,0.0,0.0
