name_x,LoVoCCS_name,LoVoCCSID_x,name_y,LoVoCCSID_y,Tmax,Tmax-,Tmax+,beta,beta-,beta+,inv_slope,inv_slope-,inv_slope+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+
LoVoCCS-77,LoVoCCS-77,77,LoVoCCS-77,77,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6703101050000002e+44,2.1831328952605253e+43,1.2011552134238632e+43,7.095210148e+44,5.2990131234225306e+42,6.354963667837603e+43
LoVoCCS-78,LoVoCCS-78,78,LoVoCCS-78,78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-79,LoVoCCS-79,79,LoVoCCS-79,79,,,,,,,,,,,,,,,
LoVoCCS-80,LoVoCCS-80,80,LoVoCCS-80,80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-81,LoVoCCS-81,81,LoVoCCS-81,81,8.42447,1.2650751199999997,-8.42447,0.262747,0.0716221936,0.1025384687,-0.726576,-0.726576,0.726576,9.738299827000001e+43,9.738299827000001e+43,3.4233430488083405e+42,2.9532594790000005e+44,8.672915055336016e+43,1.373860607975844e+44
LoVoCCS-82,LoVoCCS-82,82,LoVoCCS-82,82,7.05187,0.5331698930000002,2.344801137,0.236352,0.0516052352,0.0161641616,-0.686118,0.1327510557,0.1945052773,1.048027801e+44,2.1523337343780003e+41,1.3851166934816202e+42,2.8648960240000003e+44,1.4052302396392442e+43,1.0465755256910001e+40
LoVoCCS-83,LoVoCCS-83,83,LoVoCCS-83,83,,,,,,,,,,,,,,,
LoVoCCS-84,LoVoCCS-84,84,LoVoCCS-84,84,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-85,LoVoCCS-85,85,LoVoCCS-85,85,19.9337,12.535132284000005,-19.9337,0.112389,0.01290684924,0.0032185612999999,-0.434213,0.0269044961,0.0880326917,8.511616208000001e+43,1.1098183119534272e+43,3.3084064522004085e+43,2.622470774e+44,1.067098187349626e+44,1.1312976335172731e+44
LoVoCCS-86,LoVoCCS-86,86,LoVoCCS-86,86,,,,,,,,,,,,,,,
LoVoCCS-87,LoVoCCS-87,87,LoVoCCS-87,87,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-89,LoVoCCS-89,89,LoVoCCS-89,89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-90,LoVoCCS-90,90,LoVoCCS-90,90,8.4671,8.4671,-8.4671,0.991784,0.991784,-0.991784,-0.965606,-0.965606,0.965606,7.843255424e+43,0.0,0.0,3.2455507270000002e+44,0.0,0.0
LoVoCCS-91,LoVoCCS-91,91,LoVoCCS-91,91,9.61507,0.0085244699999993,0.0308767470000006,0.01,0.01,2.517324999999973e-05,-1.0,0.0,0.0,nan,nan,nan,1.718245825e+43,-3.8589933001121006e+41,1.13831216803064e+42
LoVoCCS-93,LoVoCCS-93,93,LoVoCCS-93,93,,,,,,,,,,,,,,,
LoVoCCS-94,LoVoCCS-94,94,LoVoCCS-94,94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-95,LoVoCCS-95,95,LoVoCCS-95,95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-96,LoVoCCS-96,96,LoVoCCS-96,96,19.9839,0.004387819999998,-13.889801029999996,0.086496,0.0057545130999999,0.0017875875099999,-0.495818,0.0231997500999999,0.0496873203999999,9.095359535000002e+43,8.322633364397191e+42,3.3229970487100345e+43,2.677715544e+44,9.468670396719398e+43,1.1622568574731346e+44
LoVoCCS-97,LoVoCCS-97,97,LoVoCCS-97,97,,,,,,,,,,,,,,,
LoVoCCS-98,LoVoCCS-98,98,LoVoCCS-98,98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-99,LoVoCCS-99,99,LoVoCCS-99,99,,,,,,,,,,,,,,,
LoVoCCS-101,LoVoCCS-101,101,LoVoCCS-101,101,,,,,,,,,,,,,,,
LoVoCCS-102,LoVoCCS-102,102,LoVoCCS-102,102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-103,LoVoCCS-103,103,LoVoCCS-103,103,,,,,,,,,,,,,,,
LoVoCCS-105,LoVoCCS-105,105,LoVoCCS-105,105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-106,LoVoCCS-106,106,LoVoCCS-106,106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-109,LoVoCCS-109,109,LoVoCCS-109,109,3.70742,0.092815807,0.075530085,0.368936,0.0167946515999999,0.0182067457,9.98523,5.360886545,-9.98523,8.908200575000002e+43,1.5708631982482702e+42,4.29638635536067e+42,2.174289703e+44,1.721828108109394e+43,1.4422196298667632e+43
LoVoCCS-110,LoVoCCS-110,110,LoVoCCS-110,110,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-117,LoVoCCS-117,117,LoVoCCS-117,117,,,,,,,,,,,,,,,
LoVoCCS-118,LoVoCCS-118,118,LoVoCCS-118,118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-119,LoVoCCS-119,119,LoVoCCS-119,119,3.13,3.13,-3.13,0.990143,0.990143,-0.990143,9.99994,9.99994,-9.99994,6.317651801000001e+43,0.0,0.0,1.6661450000000001e+44,0.0,0.0
LoVoCCS-120,LoVoCCS-120,120,LoVoCCS-120,120,4.10832,0.0956245850000003,0.2744687959999998,0.337019,0.0424563038999999,0.0352480571999999,-1.0,0.0,0.0,6.354890611000001e+43,1.52566984386804e+42,5.651427844413501e+42,1.546550937e+44,8.216011029914381e+42,1.5908424588915423e+43
LoVoCCS-121,LoVoCCS-121,121,LoVoCCS-121,121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-123,LoVoCCS-123,123,LoVoCCS-123,123,9.9533,1.3227757150000006,1.4038118500000003,0.01,0.01,0.00712477353,3.01654,1.184414383,2.989503962,6.989074142e+43,4.119342296645471e+42,1.0503046445366901e+42,2.296355126e+44,1.7615979729627002e+41,3.3108693526357484e+43
LoVoCCS-124,LoVoCCS-124,124,LoVoCCS-124,124,17.3696,1.2763885399999992,1.5992181300000006,0.0565998,0.0103911671,0.01006655797,10.0,3.280047746,-10.0,5.698719251e+43,1.6176371719758002e+41,1.772949975240048e+43,2.302271245e+44,8.356550605658596e+43,9.956567487287631e+42
LoVoCCS-126,LoVoCCS-126,126,LoVoCCS-126,126,,,,,,,,,,,,,,,
LoVoCCS-127,LoVoCCS-127,127,LoVoCCS-127,127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-128,LoVoCCS-128,128,LoVoCCS-128,128,,,,,,,,,,,,,,,
LoVoCCS-130,LoVoCCS-130,130,LoVoCCS-130,130,3.18054,3.18054,-3.18054,0.994077,0.994077,-0.994077,9.97997,9.97997,-9.97997,4.803381440000001e+43,0.0,0.0,1.277265356e+44,0.0,0.0
LoVoCCS-131,LoVoCCS-131,131,LoVoCCS-131,131,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-132,LoVoCCS-132,132,LoVoCCS-132,132,4.90774,0.1613726450000001,0.1954327489999991,0.01196,-0.1200141539,0.03129650905,0.714089,0.0913094493999999,0.0986206728999999,1.0176369480000001e+44,3.00940886748246e+42,4.9259843777074e+41,2.7915809040000002e+44,4.07523483739351e+42,3.37614526438619e+43
LoVoCCS-133,LoVoCCS-133,133,LoVoCCS-133,133,4.44976,4.44976,-4.44976,0.995691,0.995691,-0.995691,-0.641645,-0.641645,0.641645,1.480350623e+43,0.0,0.0,4.572264245e+43,0.0,0.0
LoVoCCS-134,LoVoCCS-134,134,LoVoCCS-134,134,3.65419,3.65419,-3.65419,0.991259,0.991259,-0.991259,9.99998,9.99998,-9.99998,5.173492591e+43,0.0,0.0,1.4594070150000001e+44,0.0,0.0
LoVoCCS-135,LoVoCCS-135,135,LoVoCCS-135,135,,,,,,,,,,,,,,,
LoVoCCS-137,LoVoCCS-137,137,LoVoCCS-137,137,,,,,,,,,,,,,,,
LoVoCCS-138,LoVoCCS-138,138,LoVoCCS-138,138,20.0,10.883915387,-20.0,0.0938015,0.0036767977999999,0.00123410946,-0.372401,0.0089441037,0.0344331953,8.328227342000001e+43,5.68027231776057e+42,2.9987350851059553e+43,2.3017804750000005e+44,6.746776221427086e+43,8.828727864522439e+43
LoVoCCS-139,LoVoCCS-139,139,LoVoCCS-139,139,,,,,,,,,,,,,,,
LoVoCCS-141,LoVoCCS-141,141,LoVoCCS-141,141,8.33527,0.3435493949999992,0.1616181960000009,0.128153,0.0064510292999999,0.005929278,9.99749,5.461239497000001,-9.99749,5.637179578000001e+43,9.556892675869801e+41,3.8052271470831804e+42,1.760507243e+44,2.6093608265574993e+43,6.46220833910575e+42
LoVoCCS-142,LoVoCCS-142,142,LoVoCCS-142,142,,,,,,,,,,,,,,,
LoVoCCS-143,LoVoCCS-143,143,LoVoCCS-143,143,,,,,,,,,,,,,,,
LoVoCCS-146,LoVoCCS-146,146,LoVoCCS-146,146,,,,,,,,,,,,,,,
