name,0,1,2,3,4,5,6,7,8,9,10,converged
LoVoCCS-46A,500.0,944.5770805829541,963.337000781505,959.4810031839509,960.3841585979411,960.3841585979411,960.3841585979411,960.3841585979411,960.3841585979411,960.3841585979411,960.3841585979411,True
LoVoCCS-46B,500.0,797.0257366200874,72.18231098172566,428.7265136491566,932.0795557042252,411.50809556686227,,,,,,False
LoVoCCS-46C,500.0,967.62259418754,949.5232238874047,952.8498990179343,952.4740298980904,952.4740298980904,952.4740298980904,952.4740298980904,952.4740298980904,952.4740298980904,952.4740298980904,True
LoVoCCS-48A,500.0,991.2802285084896,923.4704474132366,943.037676847676,943.5627807456544,943.5627807456544,943.5627807456544,943.5627807456544,943.5627807456544,943.5627807456544,943.5627807456544,True
LoVoCCS-48B,500.0,468.4669895033902,478.16952227264517,467.0596045508562,475.0319221105368,475.0319221105368,475.0319221105368,475.0319221105368,475.0319221105368,475.0319221105368,475.0319221105368,True
LoVoCCS-49,500.0,861.0408395255907,855.4522013324279,856.513111206764,856.7916253703461,856.7916253703462,856.7916253703463,856.7916253703463,856.7916253703463,856.7916253703463,856.7916253703463,True
LoVoCCS-51,500.0,960.4234868412871,951.1589569836916,953.8750482168368,953.090335231463,953.090335231463,953.090335231463,953.090335231463,953.090335231463,953.090335231463,953.090335231463,True
LoVoCCS-58,500.0,727.258016364745,696.0389969418038,708.9115871393062,702.9214736673581,702.9214736673581,702.9214736673581,702.9214736673581,702.9214736673581,702.9214736673581,702.9214736673581,True
LoVoCCS-60A,500.0,1194.6507103995218,1068.2959638349319,1084.8573518902256,1077.4862048276955,1077.4862048276955,1077.4862048276955,1077.4862048276955,1077.4862048276955,1077.4862048276955,1077.4862048276955,True
LoVoCCS-60B,500.0,1139.3754034868236,1085.234917241914,1144.1123996810024,1082.1594314015306,1082.1594314015306,1082.1594314015306,1082.1594314015306,1082.1594314015306,1082.1594314015306,1082.1594314015306,True
LoVoCCS-61,500.0,1178.8578243046013,1138.287047909427,1144.1469432796614,1141.6059522290204,1141.6059522290204,1141.6059522290204,1141.6059522290204,1141.6059522290204,1141.6059522290204,1141.6059522290204,True
LoVoCCS-63,500.0,1057.3008008060397,996.4736062571988,1004.5325644585812,1003.8198777458387,1003.8198777458387,1003.8198777458387,1003.8198777458387,1003.8198777458387,1003.8198777458387,1003.8198777458387,True
LoVoCCS-65,500.0,892.764635416015,,,,,,,,,,False
LoVoCCS-66A,500.0,918.0302588541308,953.9720491966888,923.6667067937336,950.324034782431,950.324034782431,950.324034782431,950.324034782431,950.324034782431,950.324034782431,950.324034782431,True
LoVoCCS-66B,500.0,878.0051327655647,947.9066040550138,953.154342666109,951.0797521089016,951.0797521089016,951.0797521089016,951.0797521089016,951.0797521089016,951.0797521089016,951.0797521089016,True
LoVoCCS-67,500.0,919.7260977263848,,,,,,,,,,False
LoVoCCS-74,500.0,976.7096628812257,958.3444376605004,959.7110126254549,959.4690552876892,959.4690552876892,959.4690552876892,959.4690552876892,959.4690552876892,959.4690552876892,959.4690552876892,True
LoVoCCS-75,500.0,833.5466752200541,824.5834560862719,823.0640627292569,822.7261323578737,822.7261323578737,822.7261323578737,822.7261323578737,822.7261323578737,822.7261323578737,822.7261323578737,True
LoVoCCS-76,500.0,827.2159892150602,828.5504835939267,827.1621096649706,828.2333789151426,828.2333789151426,828.2333789151426,828.2333789151426,828.2333789151426,828.2333789151426,828.2333789151426,True
LoVoCCS-80,500.0,1062.4706170250254,1063.1466479427495,1061.871575682385,1063.442309513659,1063.442309513659,1063.442309513659,1063.442309513659,1063.442309513659,1063.442309513659,1063.442309513659,True
LoVoCCS-85,500.0,853.1313279408524,903.0549270065839,907.7180774596305,908.5467889203327,908.5467889203327,908.5467889203327,908.5467889203327,908.5467889203327,908.5467889203327,908.5467889203327,True
LoVoCCS-89,500.0,1086.9070407915547,960.8542012616632,1003.1941267086742,1004.5427194306628,1004.5427194306628,1004.5427194306628,1004.5427194306628,1004.5427194306628,1004.5427194306628,1004.5427194306628,True
LoVoCCS-90,500.0,881.7773958713967,908.628343924581,915.533527608423,918.4030581888186,918.4030581888186,918.4030581888186,918.4030581888186,918.4030581888186,918.4030581888186,918.4030581888186,True
LoVoCCS-93A,500.0,1051.733089602165,,,,,,,,,,False
LoVoCCS-93B,500.0,1106.6795632284961,882.6139106776876,1069.6312637633152,931.2095166648419,1048.9160400253365,958.9705800858061,958.9705800858061,958.9705800858061,958.9705800858061,958.9705800858061,True
LoVoCCS-94,500.0,971.4588993441363,948.7342535559583,942.7246700805567,938.5064897567295,938.5064897567295,938.5064897567295,938.5064897567295,938.5064897567295,938.5064897567295,938.5064897567295,True
LoVoCCS-98,500.0,920.8841406282005,899.7148097050828,904.0500215177021,903.2582186035199,903.2582186035199,903.2582186035199,903.2582186035199,903.2582186035199,903.2582186035199,903.2582186035199,True
