name,ra,dec,redshift,nH,r500,r500+-,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Lx500_0.1-2.4,Lx500_0.1-2.4-,Lx500_0.1-2.4+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+,Lx500ce_0.1-2.4,Lx500ce_0.1-2.4-,Lx500ce_0.1-2.4+
LoVoCCS-18,194.67125,-1.756944444,0.0845,0.0128,1049.1027173535954,13.104942942893723,4.915355531,0.0353486270000003,0.0353435929999994,2.623089151e+44,4.472836974930101e+41,5.494192580337901e+41,8.494874103000002e+44,3.7282432369397604e+42,3.360417364968671e+42,4.252769835e+44,8.342031812019201e+41,1.1811339113756402e+42,4.786632807,0.0497032720000003,0.0496952049999999,1.591115976e+44,6.6224857916818e+41,3.6426212979866e+41,5.088958676e+44,3.0625248380398204e+42,3.891288007817971e+42,2.580723794e+44,8.4156235921218e+41,8.2622635753452e+41
LoVoCCS-21,201.99,-31.5,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-22,308.6941302,-35.8236,0.0894,0.0293,1022.2684896978637,15.5093111895169,4.704411808,0.0783230489999997,0.0783947860000005,1.809705496e+44,6.393438993826801e+41,1.11475729560309e+42,5.740649453e+44,6.61376509092652e+42,5.0768951793957906e+42,2.9355743290000005e+44,1.801924147766e+42,2.09589030518039e+42,4.700492258,0.0932698749999998,0.0933825610000003,1.482406875e+44,9.530143108308e+41,8.7885907239789e+41,4.700570692000001e+44,5.91676114465411e+42,5.4106537516184207e+42,2.404685931e+44,1.31152761516151e+42,2.2673229386910202e+42
LoVoCCS-24,342.4875,-64.42944444,0.094,0.0219,1044.1139073307288,13.481004174696585,4.897996129,0.0453997079999997,0.0454188269999997,2.134473563e+44,4.160783379447801e+41,7.1178233552987e+41,6.902315579e+44,4.11121945996843e+42,2.9882466969900105e+42,3.4604975110000002e+44,1.0618275241853901e+42,1.34799691267759e+42,4.784537544,0.0531436410000001,0.0531575679999996,1.6237528080000003e+44,4.818420220877101e+41,8.0214351234137e+41,5.192994709e+44,3.678163384807881e+42,3.5359743299545203e+42,2.633465126e+44,1.03624330552245e+42,1.0700929215348202e+42
LoVoCCS-26,333.6358333,-10.37166667,0.098,0.0422,1025.9853539005192,14.63784459873034,4.769520554,0.0669165149999999,0.067017871,2.120326281e+44,6.456533829114601e+41,1.14709900286003e+42,6.771932633e+44,6.630560114025811e+42,4.8587937518187e+42,3.4393803940000005e+44,1.78515572029965e+42,2.0961136226955303e+42,5.05164018,0.1094163209999994,0.1142757630000002,1.3001137300000001e+44,8.483725765925601e+41,7.801132783486901e+41,4.2667499710000005e+44,5.99954682810899e+42,5.339456900237641e+42,2.1070286820000003e+44,1.1258883999315901e+42,2.05591154739775e+42
LoVoCCS-27,55.72,-53.64,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-28,184.42,3.66,0.0766,0.0166,995.5445206437336,16.669178448803347,5.518369598,0.0661640749999996,0.066094241,1.8139571910000003e+44,7.1048088740704e+41,6.2527250671716e+41,6.2013985240000005e+44,4.740098506500671e+42,4.6024745198264006e+42,2.935942156e+44,1.1695973110644601e+42,1.06693664701369e+42,5.384807447,0.0763497309999996,0.0793880449999999,1.3925958590000002e+44,5.5293075487971e+41,6.750402510997e+41,4.706734442000001e+44,3.7328506369691906e+42,3.85874537255033e+42,2.2547427200000003e+44,1.32494930167951e+42,7.574917164613501e+41
LoVoCCS-29,10.54,-28.54,0.1082,0.0155,1026.047945500737,13.639281178354592,4.812392849,0.0524305769999999,0.0547481499999999,2.1306947930000002e+44,9.086101021953102e+41,8.884040791499501e+41,6.835032797000001e+44,5.70101882157112e+42,3.86214286950882e+42,3.4553207760000005e+44,1.3321961831132902e+42,1.3733054602932e+42,4.880282371,0.0733873229999995,0.075398893,1.507198209e+44,6.280033898977501e+41,7.7393857335398e+41,4.867131754e+44,4.04805585246434e+42,4.1321373601759004e+42,2.4436689180000006e+44,1.42358400638399e+42,7.8761328727836e+41
LoVoCCS-30,139.53,-12.09,0.0539,0.0408,784.0553816192325,12.726853267821044,3.03481825,0.0044845799999997,0.005107927,1.997867692e+44,4.074803043756901e+41,4.0342897521303e+41,5.2201432570000005e+44,1.3419621230232501e+42,9.8081558289779e+41,3.2675828240000007e+44,5.378092688990801e+41,7.904933268526401e+41,3.079122448,0.012373632,0.0083446399999997,1.002867789e+44,4.3069559007289e+41,3.4676947038243002e+41,2.6358445350000003e+44,1.0358384589805601e+42,9.162303522149701e+41,1.6397793860000003e+44,5.9397376521307e+41,5.503338340573801e+41
LoVoCCS-31,332.58,-12.18,0.0846,0.0399,1097.789505219449,16.676422295973932,5.377441239,0.0835288110000007,0.0867970879999999,2.1382901760000003e+44,1.0209252205909601e+42,6.994816834175001e+41,7.224649979e+44,6.00431978540191e+42,5.75707396924067e+42,3.462063476e+44,1.69195170244832e+42,1.91271407484051e+42,5.053740713,0.0984867139999998,0.0999618570000002,1.640629148e+44,9.127380529943201e+41,1.0930213094112201e+42,5.3832139690000006e+44,6.11126397736267e+42,6.41854577390275e+42,2.6587902570000003e+44,2.0773674164484002e+42,1.2097645541026802e+42
LoVoCCS-35,341.5775,-52.72944444,0.0965,0.00973,1043.4190634484592,14.25272822021899,4.920718473,0.0591774479999998,0.0592040269999998,1.7809518890000002e+44,6.690054240436601e+41,5.1911671441970005e+41,5.771254657000001e+44,3.4889625579384605e+42,3.3861150742562405e+42,2.8868854860000004e+44,1.2296899558264e+42,1.3632007369291002e+42,4.730281126,0.0632887330000002,0.0633236249999997,1.4901303310000002e+44,6.1826142545006e+41,7.725745316530601e+41,4.739566581e+44,3.5149823850003704e+42,3.7997168677442806e+42,2.416961512e+44,1.3875965995144201e+42,8.597404618837101e+41
LoVoCCS-39,229.69,6.23,0.1021,0.0291,768.849773271394,13.665944780473485,2.885345033,0.037947441,0.040224717,1.7177213220000002e+44,8.198954145104e+41,1.3770822482099e+42,4.391728405e+44,4.9993621410707004e+42,3.75027333993566e+42,2.8120944630000003e+44,2.1369119051803903e+42,2.57808479905721e+42,3.506224368,0.1769523909999999,0.1822167220000001,4.3788487860000006e+43,8.2283045676199e+41,8.4835487241442e+41,1.2146366860000002e+44,3.6203688073227e+42,3.56051821436979e+42,7.142163771000001e+43,1.20974923651539e+42,2.0802290258339704e+42
LoVoCCS-41A,202.7074673,-1.8622397,0.0852,0.0267,967.330108700912,14.944508148228886,4.251759291,0.0706291080000003,0.0709040950000003,7.08680086e+43,2.8954657105854e+41,4.6580742817408006e+41,2.1448408190000003e+44,2.3956677102880903e+42,1.81074376876721e+42,1.1517923510000002e+44,7.2939593728211e+41,8.5711133812469e+41,4.320170496,0.0909790739999998,0.098992001,5.068400498e+43,3.8515761062421e+41,3.8993845398757e+41,1.545398044e+44,2.17526324188691e+42,2.07728713956101e+42,8.234935160000001e+43,6.388702641962201e+41,9.7513360641385e+41
LoVoCCS-41B,202.7934299,-1.7268377,0.0852,0.0241,777.8567910449119,30.442315956817833,2.887006436,0.1816316910000002,0.2057538029999999,2.0340251090000003e+43,8.0650488935161e+41,7.3577398736233e+41,5.387787282e+43,3.3543595343300303e+42,2.56464688550797e+42,3.329915205000001e+43,1.50417215502603e+42,1.59292651717316e+42,2.827521743,0.2445182460000001,0.2683600639999999,1.3155497760000003e+43,9.3165936616544e+41,6.059362578399001e+41,3.459547396e+43,2.90398088888476e+42,2.69101891496491e+42,2.154480371e+43,1.7031373062472e+42,1.3565104041715201e+42
LoVoCCS-42,328.5383333,-57.85527778,0.076,0.0231,1006.1027120738244,16.4441797051932,4.604173589,0.0892819520000003,0.0927672719999996,1.5939238760000002e+44,3.4027239171130804e+42,2.5093267313848703e+42,5.00504024e+44,9.637113009606351e+42,1.149942352424063e+43,2.5866293930000003e+44,4.30828464731569e+42,5.4781571560238606e+42,4.562709909,0.106370193,0.1168076940000002,1.222780684e+44,3.20752388289398e+42,2.8653846485114805e+42,3.8235603420000005e+44,1.257831442195794e+43,9.442705911111531e+42,1.984630547e+44,5.64462633688816e+42,4.93534470536322e+42
LoVoCCS-45,26.25958333,-53.01388889,0.1168,0.0253,1180.2144582110188,19.31728499394944,6.200467043,0.1145565859999999,0.1147694810000006,1.7098167770000001e+44,1.2295994820861403e+42,1.3319878716697201e+42,6.185948343e+44,8.609796868840371e+42,5.04001872464989e+42,2.7627103450000003e+44,2.7227871796495002e+42,1.8894092518584e+42,6.26324663,0.1388987850000003,0.1387473769999996,1.3674162870000002e+44,1.2585433487901e+42,1.2169224919533701e+42,4.9704207870000006e+44,7.28251648747047e+42,7.802153393304431e+42,2.20917402e+44,2.3834058043155e+42,1.42469831386479e+42
LoVoCCS-46A,335.9876863,-1.5832489,0.0906,0.0508,988.7459825861799,16.083067815202746,4.442953805,0.0854609110000002,0.0854839700000003,1.2558069370000001e+44,8.6812990790633e+41,8.490693733612501e+41,3.919313775e+44,6.20595708499905e+42,3.1584121427884606e+42,2.039537936e+44,1.4862801831543102e+42,1.78901519575683e+42,4.667448014,0.1072934329999997,0.1081389760000002,1.053134864e+44,1.01796416943591e+42,6.8302072082235e+41,3.351871448e+44,4.19711176057392e+42,4.18138224588097e+42,1.7089236720000002e+44,1.7588749862942203e+42,1.4535775897695503e+42
LoVoCCS-46B,336.0633445,-1.5168531,0.0906,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-46C,335.948893,-1.6496155,0.0906,0.0521,951.7240867477213,13.747511662111343,4.152610959,0.0546194790000003,0.0546598619999993,1.153351185e+44,3.3494726455529e+41,5.536285309193701e+41,3.4533442170000004e+44,3.23344315280516e+42,2.5096914576610902e+42,1.875491236e+44,1.0195196573863002e+42,1.0870865000140702e+42,4.17583396,0.064932969,0.0650293020000001,9.401228051000001e+43,4.9704105440453e+41,4.627032708608401e+41,2.822086357e+44,2.9683413475815606e+42,2.6904712220136602e+42,1.5285939830000001e+44,7.043573909158601e+41,1.1965741187662101e+42
LoVoCCS-48A,194.2874082,-17.4094601,0.0473,0.0416,943.6964331744636,19.472779006631026,3.951751076,0.1137996609999998,0.1140919590000004,1.0312432650000001e+44,9.576928682702501e+41,9.7091514629049e+41,3.0648056270000004e+44,7.11479561992523e+42,3.6948627137045704e+42,1.6783913810000001e+44,1.6323626907220504e+42,2.00408375845841e+42,4.18759445,0.1516510239999995,0.1632327900000003,7.875165025000001e+43,1.2420950034872101e+42,7.819168299568101e+41,2.3933673980000002e+44,5.08941547904817e+42,4.931844840371811e+42,1.2803099510000001e+44,2.1353999658300802e+42,1.7165653909701604e+42
LoVoCCS-48B,194.4554884,-17.273181,0.0495,0.042,437.2403982131244,26.464147028960237,1.084143523,0.0887848006,0.07748109,1.7503578790000002e+42,5.9610987069836e+41,2.9725549291544006e+41,3.342421830000001e+42,1.59409877320614e+42,4.6200546502555005e+41,2.668687459e+42,9.253742299094401e+41,5.2710421329645e+41,,,,,,,,,,,,
LoVoCCS-49,175.35,-12.27,0.1195,0.025,846.0448628973147,14.43528936186075,3.46159519,0.061263818,0.0534013239999997,1.4845084510000002e+44,9.7565275306704e+41,9.2804630742509e+41,4.208308322e+44,5.4168714072898805e+42,3.21397305829957e+42,2.422093553e+44,1.6923855526787602e+42,2.0403226637281803e+42,3.840263406,0.0937658049999998,0.1034256959999999,8.144969656000001e+43,1.00901569514497e+42,6.371930694882e+41,2.4040186120000003e+44,3.4273232795667406e+42,3.26641167408667e+42,1.3262557550000001e+44,1.7018318386555302e+42,1.4030608544557e+42
LoVoCCS-51,334.5020972,-65.1814542,0.0951,0.0214,957.7525839914092,14.876412271244067,4.217583441,0.0705638330000004,0.0707010569999999,1.3075622290000002e+44,8.3819623372312e+41,8.742924135861501e+41,3.9422302240000005e+44,3.2506011254953606e+42,3.8987539728872505e+42,2.1252214760000002e+44,1.7171124876458602e+42,9.715067705329401e+41,4.359926781,0.1066318650000006,0.1052553399999993,9.086791352000001e+43,6.7016401285e+41,6.2754391607555e+41,2.782116442e+44,4.272055436907131e+42,3.80805766450705e+42,1.475989117e+44,9.3916277867401e+41,1.6526779857084904e+42
LoVoCCS-58,323.5682422,-13.4388891,0.0897,0.0504,723.0569866636278,17.85929480278424,2.563058418,0.0774060919999999,0.0954906170000002,7.336740565e+43,1.48218830141608e+42,1.4365792888804402e+42,1.7934390820000003e+44,4.1399324392536605e+42,4.19289065889221e+42,1.203191263e+44,1.98286403606486e+42,2.39117779249097e+42,2.463693557,0.0883977279999999,0.0848402259999998,6.306287557e+43,1.35205073100046e+42,1.4486971522407002e+42,1.5196908180000001e+44,4.3756422198709805e+42,3.69789865627233e+42,1.0346632250000002e+44,1.99280000699756e+42,2.1288498711105603e+42
LoVoCCS-60A,334.5726205,-3.8253647,0.0901,0.059,1079.0713990617135,14.979464687826807,5.201796105,0.0699082529999994,0.0702537440000004,9.957826816000001e+43,1.30708034652617e+42,1.0020173706291702e+42,3.3129902690000004e+44,4.3420870924502005e+42,4.2403553304494703e+42,1.6131369010000001e+44,1.7491756401583003e+42,2.2651197913299503e+42,5.064341001,0.0740646109999998,0.0739586900000004,8.528827724000001e+43,1.21291497781144e+42,1.2041627788421402e+42,2.801890105e+44,4.9908227246270406e+42,3.69708998182893e+42,1.38220503e+44,2.27646548997421e+42,1.7909464634855702e+42
LoVoCCS-60B,334.6666511,-3.7799255,0.0901,0.0597,1080.5426285676876,15.960438224889451,5.793617797,0.1231979639999991,0.1345271140000008,7.676929668e+43,1.29517859610403e+42,1.1722055815290201e+42,2.687051236e+44,3.95122434518082e+42,5.81505975487691e+42,1.2417191350000001e+44,1.8050911109765502e+42,2.06882353608636e+42,5.972629982,0.2108486339999995,0.2143186569999997,5.506735203000001e+43,8.844667516264002e+41,1.2124286247495001e+42,1.9548426770000003e+44,4.98623111727747e+42,6.30125565498014e+42,8.903320113e+43,1.81729924941865e+42,1.80705898988162e+42
LoVoCCS-61,336.5211488,17.365823,0.1072,0.0506,1144.548071341584,15.41967354785264,5.827065808,0.0591435060000007,0.0591421279999995,1.6094595300000002e+44,4.857726276654901e+41,3.4515122263903003e+41,5.6529364070000005e+44,2.66334789732617e+42,2.99961213635822e+42,2.6028442790000005e+44,8.4103058213666e+41,9.326694441872002e+41,5.351146884,0.0755963350000001,0.0756197629999997,1.006883091e+44,4.0683282225385e+41,5.2514658985769e+41,3.3968172730000004e+44,2.8180825233871604e+42,2.9485632891813304e+42,1.6302831010000003e+44,9.492080868744302e+41,5.8900673145188e+41
LoVoCCS-63,229.08,0.1,0.1181,0.0431,1011.0426981258223,14.388368713004285,4.729656777,0.0656899559999999,0.0657926700000004,1.516472256e+44,7.267938244639501e+41,1.0183277678840502e+42,4.824621955e+44,4.42663780402626e+42,3.6022069208117605e+42,2.4597402750000005e+44,1.5259546623643302e+42,1.17911903782444e+42,4.597290503,0.0770655119999998,0.083449313,1.1278828230000001e+44,8.786304017708e+41,4.7501773099111e+41,3.5406663560000004e+44,3.37302214346362e+42,3.6977664109895004e+42,1.8302631060000003e+44,1.4862878207262203e+42,1.0320653314895e+42
LoVoCCS-65,201.725,-27.18333333,0.0458,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-66A,328.0913274,-19.5461981,0.0943,0.0283,914.0027377897231,24.750530384006474,4.019518134,0.1858447450000002,0.201781017,7.936149077000001e+43,1.45128764400377e+42,1.40303170834331e+42,2.381246481e+44,9.58149873477978e+42,4.67446455774164e+42,1.291189492e+44,2.51645327264723e+42,2.9058915719761403e+42,5.001232915,0.4135454469999997,0.4856807009999997,4.271430548e+43,1.5727530266546e+42,1.00066061338802e+42,1.3978397150000001e+44,7.00894982545411e+42,5.7516658455133e+42,6.923193722e+43,2.9724854607029603e+42,2.28230146416539e+42
LoVoCCS-66B,328.0326129,-19.7222214,0.0943,0.0279,991.3206855207292,26.539795946594634,4.451549129,0.1862873099999999,0.1938070229999997,4.3727696250000002e+43,5.0970311548966e+41,7.9266073664366e+41,1.351902733e+44,4.27388529302528e+42,3.06906049654067e+42,7.10043514e+43,1.2925622074880601e+42,1.45288343213931e+42,5.154227322,0.2796071529999997,0.3104196269999999,3.3996251260000004e+43,7.044832325091e+41,8.4847404054814e+41,1.1262590180000002e+44,3.88845181300947e+42,4.1675278556060303e+42,5.507291813e+43,1.5982853740918903e+42,1.0788570848474201e+42
LoVoCCS-67,359.26,-34.76,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-74,332.3470833,-51.815,0.1065,0.0144,960.8388689517074,19.455049454166055,4.27787033,0.1216647459999995,0.1286002059999997,9.414859291e+43,7.8910252425685e+41,1.1396239136382601e+42,2.8578342790000003e+44,6.047344231068401e+42,4.491800511896131e+42,1.5300013800000003e+44,1.9855731834713702e+42,2.08626235631084e+42,4.076449436,0.1448782789999998,0.1538491760000004,6.919874428000001e+43,1.0632198115891602e+42,9.8993863161663e+41,2.0543946840000002e+44,4.8880474002720004e+42,4.3096802192676406e+42,1.1255727590000001e+44,1.40902701835553e+42,2.38225623301148e+42
LoVoCCS-75,346.809618,-15.2239398,0.111,0.0261,802.6930120637195,16.865255369761634,3.145190807,0.0805762210000002,0.0808785319999998,1.2275707890000002e+44,1.4340117432657902e+42,1.36403525831185e+42,3.3550988240000004e+44,7.3581893752417e+42,4.3556016966078e+42,2.006126343e+44,2.53195563786582e+42,2.9932695128732003e+42,3.325252106,0.131325882,0.1409105889999997,7.139332865000001e+43,1.5221077513305803e+42,9.497647488493401e+41,1.9920791760000003e+44,4.843582001072911e+42,4.337129018888461e+42,1.1654891320000001e+44,2.50326646699108e+42,2.11817871295939e+42
LoVoCCS-76,348.25,-21.63,0.0871,0.0181,820.3852633176043,14.605877588265946,3.190994249,0.0553268340000001,0.0591353279999999,1.161803331e+44,6.245399155873601e+41,9.815657722478702e+41,3.0962630350000006e+44,4.332406669388781e+42,3.472732738825781e+42,1.89848479e+44,1.76972077738992e+42,1.8981294769160702e+42,3.51252612,0.122227531,0.121222152,5.714130814000001e+43,8.7354408557277e+41,7.549095806229201e+41,1.5867021550000002e+44,3.58426491197481e+42,3.1159034770765906e+42,9.320048394000001e+43,1.1069096456766201e+42,1.9437621450966203e+42
LoVoCCS-80,52.16,-55.71,0.0853,0.0138,1060.2200036103254,20.50499676722118,5.023942804,0.1341393389999998,0.1357511210000002,1.252765685e+44,1.41635382503542e+42,1.62523139850991e+42,4.099033523000001e+44,7.004323111174481e+42,8.182762874476431e+42,2.0303563260000005e+44,2.0166288597383402e+42,3.0371304710188903e+42,4.952056322,0.2057875639999995,0.2162075220000003,7.775795396000001e+43,1.6782395190075904e+42,1.41997773821161e+42,2.5269829800000004e+44,7.197246082905521e+42,6.427760879408701e+42,1.260498944e+44,3.133283524272501e+42,2.7121192047457304e+42
LoVoCCS-85,12.35,-29.52444444,0.1084,0.0173,912.8920932443034,17.822992532163482,3.92428151,0.1016889030000003,0.1010168179999997,8.522460461000001e+43,7.658524431345701e+41,4.914904698999e+41,2.486143978e+44,3.5220970367712305e+42,3.5221876090117604e+42,1.387128846e+44,1.6057573308293102e+42,1.4004685364053702e+42,4.3012845,0.1672686370000002,0.1925786079999998,5.362593255e+43,6.5598421261244e+41,7.801991036206401e+41,1.6318646240000002e+44,3.9246498350501404e+42,4.074667692128181e+42,8.713089096e+43,1.60601193548609e+42,9.675231914527201e+41
LoVoCCS-89,348.0798885,-21.5040975,0.1108,0.0176,1012.235393123651,42.24071250318773,4.61469901,0.3174664699999994,0.3665491460000005,9.242604475e+43,1.84788966749544e+42,1.5737948983664102e+42,2.906522286e+44,1.5268431931847121e+43,1.3894297591172333e+43,1.499734172e+44,4.2787258962231903e+42,2.9892208199179903e+42,4.472531288,0.430482649,0.4820702629999998,6.053008975000001e+43,1.63484824526845e+42,1.8758885921587103e+42,1.8756008900000003e+44,1.2006505762637612e+43,8.819461463324231e+42,9.827143462000001e+43,2.9115148135880203e+42,2.5950806920612604e+42
LoVoCCS-90,227.8621045,6.3492767,0.0817,0.0266,891.6358868305648,34.944951984308545,3.639145551,0.230712827,0.2606554779999999,7.769306310000001e+43,1.2985135463089e+42,1.1448467110483101e+42,2.2411198840000005e+44,7.36848148471495e+42,6.7863050607161e+42,1.2664794230000002e+44,2.7507144024999203e+42,2.2728625436692604e+42,3.567209869,0.3022505149999999,0.3576426549999998,5.229934729e+43,1.0309951388662601e+42,1.47940892296804e+42,1.4970790650000002e+44,8.93365403813864e+42,7.0317051974762e+42,8.52871969e+43,2.7249765395843402e+42,1.81665709195946e+42
LoVoCCS-93A,96.867142,-54.4387329,0.0506,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-93B,96.6878437,-54.5390924,0.0506,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-94,191.1496588,-11.9931364,0.0963,0.0343,945.6240718646037,20.627131144028915,4.121133495,0.1286214069999998,0.1332330880000007,8.494065379e+43,1.3199963808307102e+42,1.86285013675777e+42,2.533792642e+44,6.458363022262501e+42,6.920501846289071e+42,1.3810920630000002e+44,2.6340514885270403e+42,2.2854030539804102e+42,4.246328594,0.1879182740000002,0.2038102089999993,5.646307520000001e+43,1.6472967413353402e+42,1.6719986028288904e+42,1.7076328380000003e+44,5.4703294794717704e+42,7.055830412755271e+42,9.1754664e+43,1.99855380704402e+42,2.6537571793654703e+42
LoVoCCS-98,358.56,-10.41,0.0765,0.0283,905.4339149819021,14.755917961902878,3.762865134,0.0640533389999999,0.064052803,9.803578976e+43,4.0579780657666e+41,6.813960212952801e+41,2.807166283e+44,3.39288984642182e+42,2.5101394236532303e+42,1.59717793e+44,1.1398702277449e+42,1.3306279067890302e+42,3.701987211,0.091694973,0.0882410870000001,6.878538695000001e+43,4.7183635479023e+41,8.6457767413893e+41,1.955361674e+44,3.47524424623678e+42,3.23991648542801e+42,1.1209908790000001e+44,1.0350724747497701e+42,1.1870165160407302e+42
LoVoCCS-99,194.3335664,-30.362907,0.0554,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-119,125.258665,7.8635007,0.11,0.0187,746.5654505046938,12.969338409516817,2.758462173,0.0225567389999996,0.0225728060000003,6.342909517000001e+43,2.2021067710638002e+41,3.2266335404552005e+41,1.5930852520000003e+44,1.2541518661611902e+42,7.5166208979229e+41,1.0391765e+44,4.962832158258901e+41,6.074436331420701e+41,3.33804008,0.0491466159999998,0.0491724580000001,3.4141326670000005e+43,2.4252779401815e+41,2.1657622339913005e+41,9.269344543e+43,1.10388625924829e+42,7.6314707531005e+41,5.573796755e+43,4.3495926293023e+41,5.636111032786401e+41
