name,ra,dec,redshift,r500,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Lx500_0.4-2.4,Lx500_0.4-2.4-,Lx500_0.4-2.4+,Zmet500,Zmet500-,Zmet500+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+,Lx500ce_0.4-2.4,Lx500ce_0.4-2.4-,Lx500ce_0.4-2.4+,Zmet500ce,Zmet500ce-,Zmet500ce+
LoVoCCS-14,44.46,13.05,0.0722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-15,351.33,-12.13,0.0852,892.2373489173298,3.69158,0.009653649,0.009652436,2.4974278970000004e+44,5.9771859691158005e+41,5.8259017249149006e+41,7.0912322830000004e+44,1.5147822908873802e+42,1.6927421535387e+42,3.1553289150000005e+44,7.925564861446802e+41,7.076171122020201e+41,0.307163,0.0034730312,0.0035004409999999,3.46804,0.0201215469999995,0.0201785230000002,1.0078048020000001e+44,3.5369500227741e+41,3.1196726988133006e+41,2.774421413e+44,1.3221577777425402e+42,1.4597293595147502e+42,1.274049738e+44,4.665354214327601e+41,5.7807737271405004e+41,0.16915,0.0063798773,0.0064800493999999
LoVoCCS-18,194.67125,-1.756944444,0.0845,1043.6154492747235,4.88707,0.0356152969999996,0.0368001290000004,2.6268422380000003e+44,6.6173127963275e+41,5.3685244979078e+41,8.445588122000001e+44,2.6963653626280502e+42,3.30868031141917e+42,3.348246571e+44,6.1939243030838e+41,8.7661165247385e+41,0.228613,0.0103056603,0.0104652605999999,4.64109,0.0528593139999999,0.052811804,1.6012628690000001e+44,5.0533418401177e+41,5.0735436481105e+41,4.9937634560000005e+44,3.9152202228312e+42,3.0254179353036105e+42,2.0406318130000003e+44,6.9945461993564e+41,6.546816294475701e+41,0.123906,0.0138601155,0.0140699966
LoVoCCS-21,201.99,-31.5,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-22,308.6941302,-35.8236,0.0894,1010.640027501083,4.61534,0.0865753580000001,0.0830519330000001,1.80811969e+44,9.295551042863902e+41,1.2389437400794001e+42,5.628154753e+44,5.714322523873531e+42,5.52989927393281e+42,2.3035245990000003e+44,1.3006328453484e+42,1.6240286688295402e+42,0.133224,0.0217750488,0.0220645600999999,4.60297,0.1015768939999999,0.0978037440000001,1.488435582e+44,1.2316991413116401e+42,1.1337897840689802e+42,4.628517119e+44,6.76637278535826e+42,4.81525037716863e+42,1.8960577750000004e+44,1.1969149056086802e+42,1.2898344618753e+42,0.136744,0.0264227417,0.0256703664999999
LoVoCCS-24,342.4875,-64.42944444,0.094,1039.9921876523306,4.87439,0.0474611090000003,0.0495222850000001,2.133798502e+44,7.127427262822301e+41,6.1209534425762004e+41,6.8420227520000005e+44,2.8399048069345305e+42,3.50570514624173e+42,2.720118961e+44,6.7775855474066005e+41,9.813033002873201e+41,0.203144,0.0125396519,0.0127487747,4.73715,0.0553974979999996,0.0556650540000003,1.6269487830000001e+44,8.5743661608692e+41,6.914223712928501e+41,5.136487703000001e+44,3.9415598203984606e+42,3.0488905640697605e+42,2.0732837220000002e+44,7.641900870525301e+41,8.237699386798401e+41,0.168022,0.0153241386,0.0155445129
LoVoCCS-26,333.6358333,-10.37166667,0.098,1027.8778095324608,4.78511,0.0660958040000005,0.0677745019999997,2.120295612e+44,8.575456654528e+41,1.31152792247406e+42,6.8026916790000004e+44,5.97396030301984e+42,5.7365116321935e+42,2.698167436e+44,1.42156827671172e+42,1.6521921832196302e+42,0.349798,0.0226861881,0.023074782,5.05874,0.1113316879999999,0.1175540039999996,1.3004551920000002e+44,1.13259587202345e+42,1.01497024563602e+42,4.2621325420000005e+44,6.67318003472137e+42,4.9855739422810706e+42,1.658460123e+44,1.0779453014709401e+42,1.23253399457047e+42,0.269474,0.0332373514999999,0.0340755009
LoVoCCS-27,55.72,-53.64,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-28,184.42,3.66,0.0766,916.5985965900909,5.72747,0.0604259130000004,0.0645507149999993,1.7554877860000002e+44,6.8679967286098e+41,5.6807700699198e+41,6.064829404000001e+44,3.0522941516166006e+42,3.67177603727352e+42,2.2462817780000002e+44,9.164421941674702e+41,7.301601334989e+41,0.207637,0.0154177858999999,0.0157754609,5.63755,0.0729068719999999,0.0729130019999999,1.388522904e+44,5.4507097320338e+41,5.3820141576508e+41,4.751636320000001e+44,3.63605411094143e+42,3.76806055630761e+42,1.776389101e+44,7.809295960787801e+41,7.0535826650283e+41,0.179862,0.0185086805999999,0.0187783529
LoVoCCS-29,10.54,-28.54,0.1082,1024.8150953939335,4.79825,0.0526361380000004,0.0540377959999993,2.133254266e+44,6.905022188789701e+41,1.0018345536078701e+42,6.8079260380000006e+44,4.4160321199658104e+42,4.25643496750103e+42,2.71738673e+44,1.0280315559256001e+42,1.2642654371453401e+42,0.239426,0.0160030981,0.0161999984,4.85111,0.0748974890000004,0.0803247639999993,1.5089193190000002e+44,7.9062190770194e+41,7.5521668892955e+41,4.829156297e+44,4.982416245947361e+42,3.5941217139809805e+42,1.9233083170000003e+44,8.2105365886153e+41,9.200428005740302e+41,0.203303,0.0207645012,0.0211144363999999
LoVoCCS-30,139.53,-12.09,0.0539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-31,332.58,-12.18,0.0846,1096.053610458082,5.36953,0.0845462790000004,0.0864568060000001,2.1411740300000004e+44,1.36123368702212e+42,1.0053314954338702e+42,7.210265278e+44,6.623887223014981e+42,6.925593566488001e+42,2.734712416e+44,1.69548237178318e+42,1.52890513276277e+42,0.262478,0.0243088714999999,0.0246461008,4.99888,0.1019527949999998,0.1017718570000001,1.6468671290000003e+44,1.2214127368751401e+42,1.1282184389676701e+42,5.343983217e+44,7.396563911001051e+42,6.117079134821311e+42,2.1006242440000002e+44,1.2100988956229802e+42,1.3211926487792201e+42,0.210106,0.0288018330999999,0.0293126092
LoVoCCS-35,341.5775,-52.72944444,0.0965,1032.5961249201457,4.84213,0.0613955480000001,0.0744605969999998,1.7788252410000003e+44,6.0659896167932e+41,8.507398730783101e+41,5.670388548000001e+44,3.8750843182885104e+42,3.5920626539819603e+42,2.268067678e+44,9.5581091232306e+41,1.12234236523694e+42,0.160614,0.0150803401,0.016596199,4.63438,0.0684229500000004,0.0660954230000001,1.4920322210000002e+44,8.0709742329546e+41,7.9176980868151e+41,4.654700665000001e+44,4.3527277973951505e+42,3.2714157632701504e+42,1.900892426e+44,8.619448580473402e+41,9.6742526840929e+41,0.138244,0.0172669904,0.0174882533
LoVoCCS-39,229.69,6.23,0.1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-41A,202.7074673,-1.8622397,0.0852,953.5901016868256,4.14885,0.0732981070000002,0.0735878699999998,7.031967834000001e+43,3.7909894665976e+41,5.242651740269801e+41,2.092944292e+44,2.20037763477366e+42,2.1305668423572002e+42,8.930335842e+43,5.6421810938098e+41,6.977453513365701e+41,0.186151,0.0216683437,0.0220379240999999,4.15628,0.0986909819999999,0.100597134,5.064191932e+43,5.1242051637535005e+41,4.8881289089777e+41,1.504808349e+44,2.56877235825656e+42,1.9101507378721903e+42,6.435876228000001e+43,5.2681581708521e+41,5.8216986573396004e+41,0.138361,0.0279562332,0.0286329347
LoVoCCS-41B,202.7934299,-1.7268377,0.0852,801.4087852656584,3.07467,0.1519766969999998,0.1596764140000002,2.9018288e+43,5.215592939763601e+41,6.1037068982586e+41,7.606867029e+43,2.3829840106641802e+42,1.86840698855206e+42,3.6626033460000006e+43,6.9778760593542e+41,7.2804289189559e+41,0.0930726,0.04317874715,0.0457980144999999,3.20452,0.2056893679999998,0.2219986299999998,2.2000222540000002e+43,5.6344037907961004e+41,5.4449363680894004e+41,5.854748507000001e+43,2.5728311995946204e+42,1.92975914068028e+42,2.7830312790000003e+43,5.1409333275719e+41,7.100664080119101e+41,0.0474315,0.0474315,0.0597147417
LoVoCCS-42,328.5383333,-57.85527778,0.076,998.6865746738367,4.51827,0.0883286779999998,0.097188129,1.5989295710000002e+44,2.3547130697836604e+42,2.2819086010121402e+42,4.936824695000001e+44,1.378066811996244e+43,9.520258929447071e+42,2.035454206e+44,4.0727826451710105e+42,4.38774664378089e+42,0.159782,0.0252268821999999,0.0257495013999999,4.44873,0.1134474450000002,0.1139093869999996,1.2333633940000001e+44,2.7108634299373902e+42,3.16809292466401e+42,3.775029228e+44,1.099404753705909e+43,9.453814254907691e+42,1.5700566380000002e+44,3.3061575555614804e+42,4.0287403385530304e+42,0.130598,0.0304922463999999,0.0313340114
LoVoCCS-45,26.25958333,-53.01388889,0.1168,1168.4635927970446,6.08646,0.0965592969999997,0.1066727930000004,1.7066376780000003e+44,1.3327116492197301e+42,1.48509761794468e+42,6.124674201000001e+44,6.09904341881044e+42,5.62936546555114e+42,2.1853801830000002e+44,1.8714165366963803e+42,1.7184704265374002e+42,0.306623,0.0252182740999999,0.025434194,6.15031,0.1232436589999999,0.1247730709999999,1.369999708e+44,1.3182035047054102e+42,1.2998629449414602e+42,4.938333564e+44,5.30974707637438e+42,6.642763710016e+42,1.7547630910000003e+44,1.4624026882674902e+42,1.8559031423165102e+42,0.301001,0.0308350184,0.0313692630999999
LoVoCCS-46A,335.9876863,-1.5832489,0.0906,960.3841585979411,4.21831,0.0522429009999996,0.0522362200000001,1.1962757040000001e+44,4.8503592705919e+41,6.757765348163901e+41,3.610874519e+44,2.92081081427544e+42,2.7927887736167405e+42,1.5174247510000002e+44,7.1052233159341e+41,8.388538631386001e+41,0.317911,0.018324571,0.0186017344,4.35118,0.0615103770000002,0.063921896,1.0281140250000002e+44,5.5851983531755e+41,5.1451715950296005e+41,3.1464367890000004e+44,3.3076369388049607e+42,2.5957777904033302e+42,1.3054639e+44,5.7418548575483e+41,6.2193535613883e+41,0.305997,0.0207057885,0.0210491774999999
LoVoCCS-46B,336.0633445,-1.5168531,0.0906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-46C,335.948893,-1.6496155,0.0906,952.4740298980904,4.15804,0.0546621599999994,0.0546019430000006,1.153636776e+44,5.0891967617218006e+41,6.614124334011401e+41,3.4592438440000003e+44,2.92524376747964e+42,2.8119409629618504e+42,1.4627217680000001e+44,7.076744138709401e+41,8.781338447544901e+41,0.318485,0.0189559277,0.0192490580999999,4.15467,0.0667402160000003,0.066757548,9.39557196e+43,5.8942705536189e+41,5.777930710468001e+41,2.8077104240000005e+44,3.5138671448437205e+42,2.7620120622673603e+42,1.19223179e+44,6.544015145491101e+41,7.099311332708201e+41,0.254109,0.0213281700999999,0.0217089153
LoVoCCS-48A,194.2874082,-17.4094601,0.0473,943.5627807456544,3.93382,0.1221494579999999,0.1223442500000002,1.032376866e+44,1.19679904684507e+42,1.37642361292934e+42,3.0608954660000002e+44,5.92777998038554e+42,6.10098785496487e+42,1.307331192e+44,1.8782116202787002e+42,1.07898452977506e+42,0.282514,0.0400450501999999,0.0417957427,4.06915,0.1598018219999994,0.1755093900000002,7.923555856e+43,7.533125190980501e+41,1.1128121097507301e+42,2.372032675e+44,4.6684000388309907e+42,5.579815536380381e+42,1.0055447820000002e+44,1.44978586496641e+42,9.867292994751602e+41,0.200513,0.0483654557,0.0508947216
LoVoCCS-48B,194.4554884,-17.273181,0.0495,475.0319221105368,1.18218,0.156844862,0.1783130209999999,1.090483455e+36,1.090483455e+36,7.11592779335356e+45,1.7243587940000004e+36,1.7243587940000004e+36,1.129374879141769e+46,1.1647340160000001e+36,1.1647340160000003e+36,5.3128993285794307e+45,5.0,3.603651523,-5.0,0.0136036,0.00049669195,0.0001221197899999,3.2893764770000003e+35,3.2893764770000003e+35,1.0542394460480846e+51,3.59799719e+50,3.59799719e+50,2.6764189054924005e+58,8.606038556e+38,8.606038556e+38,1.2826831088586217e+51,4.99913,4.99913,-4.99913
LoVoCCS-49,175.35,-12.27,0.1195,856.7916253703463,3.54499,0.0517594379999999,0.0516698429999999,1.484970604e+44,1.06014292717332e+42,1.12760389342586e+42,4.261532207000001e+44,3.7631307017646206e+42,4.08597535386934e+42,1.8688897210000002e+44,1.30997325036e+42,1.5568470610843e+42,0.452494,0.0256159995999999,0.0263570476,3.86494,0.1021651319999996,0.1027535800000003,8.134781226e+43,7.3634216096508e+41,9.588301686160101e+41,2.408136029e+44,3.55205450562544e+42,3.6674738218385203e+42,1.029063704e+44,1.20270977944271e+42,8.903545929036901e+41,0.313369,0.0376226524,0.0383998308999999
LoVoCCS-51,334.5020972,-65.1814542,0.0951,953.090335231463,4.17984,0.0729889800000007,0.0731972059999996,1.306226838e+44,7.691277250328801e+41,9.913396188978701e+41,3.903894362e+44,4.09829053365803e+42,3.972920918430851e+42,1.6586282990000002e+44,1.0197667447479202e+42,1.2774258454527502e+42,0.204532,0.0228887640999999,0.0233478642,4.23526,0.1020129409999999,0.1081259769999993,9.109687678000001e+43,8.160967905997601e+41,8.1926385342957e+41,2.7254921510000003e+44,4.650227626078831e+42,3.425523796441271e+42,1.1585956060000002e+44,8.6409191931621e+41,1.00948277653107e+42,0.112328,0.0287460084199999,0.0294541441999999
LoVoCCS-58,323.5682422,-13.4388891,0.0897,702.9214736673581,2.48042,0.0886649300000002,0.0756682029999997,7.210620561e+43,1.1042283185114602e+42,1.0963551670079501e+42,1.747192827e+44,3.20589211382789e+42,4.20437438604448e+42,8.999972246000001e+43,1.76841011967066e+42,1.91979673279493e+42,0.209181,0.026627648,0.0286410792,2.24024,0.0710572909999998,0.0859703779999998,6.271756222000001e+43,1.54139375360436e+42,1.00231907888479e+42,1.4732882410000002e+44,3.64345709561272e+42,3.3871772892112805e+42,7.805114837e+43,1.63074284433499e+42,1.6401488984222603e+42,0.172787,0.0241275495999999,0.0262528972999999
LoVoCCS-60A,334.5726205,-3.8253647,0.0901,1077.4862048276955,5.17927,0.0682851619999995,0.0724294140000001,9.964162362000001e+43,1.1414686324129301e+42,1.06097944895415e+42,3.283803295e+44,6.21427546510669e+42,4.1330574560617604e+42,1.2722551040000002e+44,1.71106905877324e+42,1.6481562402994802e+42,0.192467,0.0186573043,0.0189004450999999,5.02799,0.0775758629999998,0.0776201099999998,8.545105531000001e+43,1.02231835233241e+42,1.3315471450003302e+42,2.775218004e+44,4.3122146673235305e+42,4.39037016242769e+42,1.0904175430000002e+44,1.3072677738568301e+42,1.6738664720442605e+42,0.180475,0.0208053426,0.0210200316999999
LoVoCCS-60B,334.6666511,-3.7799255,0.0901,1082.1594314015306,5.75661,0.1220592620000005,0.1334989399999999,7.708910347e+43,1.07970654197963e+42,1.25943356985263e+42,2.700399965e+44,6.23265812038638e+42,5.200755803503921e+42,9.857624112000001e+43,1.6588409638233902e+42,1.55516763458984e+42,0.351222,0.0355054081999999,0.0360546465,5.97367,0.2167719530000003,0.2204008379999997,5.520006023000001e+43,1.3461233878013802e+42,1.03002135998742e+42,1.954595412e+44,4.8593139119282705e+42,6.442296606092711e+42,7.067664811e+43,1.54010575713878e+42,1.71906995177794e+42,0.265655,0.0554137318999999,0.0557694727
LoVoCCS-61,336.5211488,17.365823,0.1072,1141.6059522290204,5.80417,0.060592165,0.0620014290000003,1.6089211850000002e+44,4.806754761961001e+41,6.1355225424083e+41,5.617687303000001e+44,3.29834791234429e+42,3.49054989338589e+42,2.0587821090000003e+44,5.845258704248001e+41,7.5315558412025e+41,0.24553,0.0146310803999999,0.0148890158999999,5.27842,0.0790284779999996,0.0791007170000002,1.009931882e+44,5.3655049978195e+41,5.3457453786974e+41,3.3582330410000004e+44,3.4538701886728206e+42,2.6631287439639602e+42,1.290024288e+44,5.873223797967701e+41,5.734209936742401e+41,0.187906,0.0204396731,0.0207691698
LoVoCCS-63,229.08,0.1,0.1181,1003.8198777458387,4.67081,0.0659503930000005,0.0660792359999993,1.5147276590000002e+44,9.547882413916802e+41,1.00874532136575e+42,4.774239535000001e+44,3.8021907459624304e+42,4.5202892383291105e+42,1.92796957e+44,9.208222880901501e+41,1.02478807662845e+42,0.242426,0.0194380942,0.0197632765,4.4849,0.0804196259999994,0.0804296860000004,1.131880309e+44,9.692837086591901e+41,6.866629909762601e+41,3.489759296e+44,3.4458216993935304e+42,4.32399847526247e+42,1.440078453e+44,7.639905612777901e+41,8.472588875364101e+41,0.188204,0.0235047485,0.0240108198
LoVoCCS-65,201.725,-27.18333333,0.0458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-66A,328.0913274,-19.5461981,0.0943,950.324034782431,3.98559,0.1367988989999999,0.1428187649999994,8.415217733000001e+43,1.06848143576484e+42,1.3137556641354502e+42,2.46733223e+44,5.770408728762761e+42,4.8715415805139804e+42,1.0664902910000002e+44,1.4491375862006003e+42,1.77238310681145e+42,0.250997,0.0450705885,0.0470976726999999,4.66281,0.2679837050000007,0.2853558209999995,4.905958322000001e+43,1.2653142189654302e+42,1.1799733531100602e+42,1.5410663430000001e+44,6.40258616308407e+42,4.387580167230281e+42,6.247095878000001e+43,1.2691030822786701e+42,1.3020427304889601e+42,0.203119,0.0769696614,0.0825671415
LoVoCCS-66B,328.0326129,-19.7222214,0.0943,951.0797521089016,4.15005,0.1997157620000003,0.1954767199999993,4.142727173e+43,6.226528970611601e+41,1.16516568832882e+42,1.2211110450000001e+44,3.20188845199674e+42,4.71732902489654e+42,5.275242382000001e+43,8.2792183859118e+41,1.4052477247056e+42,0.00102116,0.00102116,0.04912434074,4.7021,0.2632565919999994,0.3098995480000006,3.220013642e+43,7.1131342519371e+41,1.0898185642406502e+42,1.0018061890000002e+44,2.90783730468058e+42,4.520888441890711e+42,4.110322314e+43,6.729455077842201e+41,1.31294298802466e+42,7.77532e-18,7.77532e-18,0.0242093986699999
LoVoCCS-67,359.26,-34.76,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-74,332.3470833,-51.815,0.1065,959.4690552876892,4.27019,0.1277395170000002,0.1348788759999992,9.403368982e+43,1.0151376052676001e+42,1.2475961947709401e+42,2.8510916210000003e+44,6.04793938948776e+42,5.1047872555748905e+42,1.193455754e+44,1.3082362056476401e+42,1.7478611699233602e+42,0.293968,0.0441643998,0.0458512504999999,4.06647,0.1555189779999999,0.1640593250000002,6.898752706e+43,1.2649561958131103e+42,1.22627158985987e+42,2.045677154e+44,5.83517718192859e+42,3.9985954783457804e+42,8.743090124000001e+43,1.3766778425825002e+42,1.3424894035038601e+42,0.298724,0.0545711794,0.0577845998
LoVoCCS-75,346.809618,-15.2239398,0.111,822.7261323578737,3.27395,0.0652598609999999,0.0602985349999998,1.2502237890000002e+44,8.961244271177901e+41,1.2307932620439e+42,3.3730019070000004e+44,4.53796747745329e+42,3.55706463472196e+42,1.568701545e+44,1.2617838105999001e+42,1.52456055152331e+42,0.442368,0.0293036177,0.0302946045,3.32867,0.0994396629999996,0.0986510840000001,7.540753586e+43,9.2247284571886e+41,8.6567841968586e+41,2.0423846450000002e+44,3.9315582510034806e+42,3.353895651754281e+42,9.506353495e+43,9.696811249146201e+41,9.851675855846801e+41,0.236405,0.0351542692,0.0369327466999999
LoVoCCS-76,348.25,-21.63,0.0871,828.2333789151426,3.24279,0.0647586529999997,0.0688482870000002,1.1647130280000001e+44,9.678539952494901e+41,1.0785563393616802e+42,3.127718913e+44,4.77637714509016e+42,3.791161605635491e+42,1.463426247e+44,1.2005067133435901e+42,1.60341262249314e+42,0.361841,0.0269273617,0.0279229008999999,3.37354,0.1224065010000003,0.1437912329999999,5.720547286e+43,9.933055242333e+41,9.5773823565849e+41,1.5574338790000001e+44,4.11599840566435e+42,2.9324963573379805e+42,7.222748602000001e+43,1.1291633050008501e+42,1.1916870211993002e+42,0.187986,0.0387282288999999,0.041050657
LoVoCCS-80,52.16,-55.71,0.0853,1063.442309513659,5.0159,0.1394770379999999,0.1399414669999998,1.2514069330000001e+44,1.3786312746505201e+42,1.2452214609336501e+42,4.096712988e+44,9.88427378146711e+42,7.00382845308238e+42,1.5948202840000002e+44,2.2524906980623603e+42,1.2174078060967001e+42,0.319893,0.0423532420999999,0.0436840377,4.88441,0.2193239949999998,0.2291020750000001,7.748539717000001e+43,1.6626425127856102e+42,1.5103744366671102e+42,2.4950542040000002e+44,8.13135293348256e+42,8.13462061452951e+42,9.873664290000001e+43,1.7307826817123804e+42,2.23847796907962e+42,0.256136,0.0622625691999999,0.0659421401
LoVoCCS-85,12.35,-29.52444444,0.1084,908.5467889203327,3.88983,0.1113902169999998,0.1060824149999999,8.485978422000001e+43,8.896569849877501e+41,9.2373585862473e+41,2.462682552e+44,4.1347352935323e+42,3.8895994030336706e+42,1.0744121090000002e+44,1.1372044634374802e+42,1.2958896723893801e+42,0.269433,0.0332441771999999,0.0345598461,4.13726,0.1866688850000004,0.1807177669999999,5.360554923000001e+43,7.6935789401528e+41,7.7945909806498e+41,1.5931815140000001e+44,4.9629808082664005e+42,3.67182028496425e+42,6.807138361000001e+43,9.6758784022282e+41,1.0269429891560401e+42,0.183303,0.0479884590999999,0.0511173865
LoVoCCS-89,348.0798885,-21.5040975,0.1108,1004.5427194306628,4.63548,0.3429635470000001,0.387860324,9.193096751e+43,2.0460056997990204e+42,1.7999267221399804e+42,2.8821463180000005e+44,1.106000774249486e+43,1.187519462087687e+43,1.17026185e+44,2.13651170390393e+42,2.3679868254573502e+42,0.212944,0.0978471417,0.1066199987,4.42509,0.4657077049999998,0.5209752300000003,6.008896208e+43,1.3907527632553201e+42,2.09875871505503e+42,1.837634914e+44,1.0653965287152171e+43,1.143789839000122e+43,7.645806816000001e+43,2.38858671798683e+42,1.8910243003193504e+42,0.15345,0.12774071536,0.1459636376
LoVoCCS-90,227.8621045,6.3492767,0.0817,918.4030581888186,3.90106,0.245632053,0.2691051980000001,8.371127935000001e+43,2.5772701847780603e+42,3.1633201291046205e+42,2.442476528e+44,1.3427161080617963e+43,1.51486104559586e+43,1.0581925880000001e+44,5.37167863156596e+42,3.0193725440021005e+42,0.375676,0.0863320639,0.0969829961,3.89118,0.3328503549999997,0.3809813439999998,5.879106396000001e+43,3.57415501796958e+42,2.2675808408656402e+42,1.7130249660000002e+44,1.312980414133696e+43,1.336365467380227e+43,7.431781153e+43,3.44674228829455e+42,4.16973390195868e+42,0.369995,0.1155041404,0.1346688441999999
LoVoCCS-93A,96.867142,-54.4387329,0.0506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
