parent_LoVoCCSID,cluster,redshift_target,BCG_ra,BCG_dec,mass_map_ra,mass_map_dec,RS_map_ra,RS_map_dec,BCG_angle,mass_map_angle_05,mass_map_angle_10,mass_map_angle_20,RS_map_angle_05,RS_map_angle_10,RS_map_angle_20,cluster_type
35,A3911,0.097,341.56271851137666,-52.72073272,341.54103789601857,-52.72381214,341.5171182990242,-52.68717128,46.02,-25.48902724,3.2608618844033685,-3.787049044,39.96031668577478,54.74884005926274,54.79826704760049,a
39,A2055,0.1023,229.69054522558267,6.232252602708265,229.72839155981933,6.261155094277992,229.6904734726458,6.245594157472367,64.58,57.42381259719628,-76.40418319,-62.05570428,58.147246013155495,66.41560485559783,67.65076464039943,c
41,A1750,0.0856,202.7107742571306,-1.861961968,202.78487146556157,-1.733406832,202.70550249372937,-1.868826003,-10.57,-58.1501051,-59.38114689,19.726181266564105,-46.36295727,-55.64256757,-49.65399794,c
42,A3822,0.076,328.51753291608827,-57.86752459,328.5498400790576,-57.87137471,328.5539444750265,-57.85451439,-63.66,-22.7561752,63.246147049449014,38.53765366295174,-25.8264579,-46.11476021,-50.63466257,b
45,A2941,0.118,26.24001175926346,-53.01991862,26.31261974720888,-53.0553665,26.28123288146583,-53.02280431,2.6,85.34316126990696,-77.73183251,32.825477052866916,14.37288489967297,22.963256340642282,29.583323906941608,b
46,A2440,0.0909,335.9872318213873,-1.583283083,336.00127204712766,-1.597795282,335.9700583416229,-1.618655096,-33.78,3.1803238132092195,25.46722952491861,19.325703937138744,-44.4290731,-41.46139809,-46.80682206,c
48,A1644,0.047,194.29837785980123,-17.40922442,194.3020406413361,-17.40837247,194.37896963255795,-17.25493918,-44.33,-79.57640542,82.79202471640698,52.29805974,75.44319922501133,89.11944066774595,76.22510373064729,a
49,A1348,0.11985,175.35085332647208,-12.2773766,175.34816540893127,-12.27367856,175.38193655078592,-12.25556505,-9.99,-12.08603492,-19.84941554,82.31802432160494,-18.98814123,-13.57963646,-35.52954546,a
51,RBS1847,0.0951,334.5022648642336,-65.18123431,334.46432360023465,-65.14417822,334.4970474,-65.17426268,-7.35,62.33486849619202,-84.06811376,-17.31192662,-45.70733386,-46.1970778,-69.28528088,a
55,RXCJ1215.4-3900,0.119,183.86414254532735,-39.03236418,183.86510420372593,-39.01062443,183.83085220719366,-39.04615206,-33.38,87.67505551736608,-69.86633864,-20.6662707,-40.50577777,-50.10545828,-72.79099069,a
58,A2351,0.0897,323.5676966895627,-13.42960211,323.58194786106924,-13.41990707,323.56538674719485,-13.42255917,61.63,-69.32910159,-86.7982281,-81.92937776,56.46208798105925,70.74737044947561,73.67496661527575,a
60,RXCJ2218.2-0350,0.09,334.66803721735164,-3.779830727,334.55618361294484,-3.800441802,334.6684345283042,-3.769982496,1.99,-9.346515494,-41.70017426,45.53856723444644,-51.25961966,-31.52366367,-36.60316908,c
61,A2443,0.1102,336.53301701616664,17.356499098791506,336.5376844364226,17.357030230579074,336.5212574741981,17.39136580555075,-54.86,87.29952924161736,85.32973568,79.63672149704576,74.28931498570725,62.88647319795685,61.265227658400086,c
63,A2050,0.1191,229.07477872560858,0.089129724,229.07941169867286,0.084547377,229.0712636,0.07727419,-49.24,-80.22517514,67.27089884153565,47.54768903092968,-38.16282504,-33.60205569,-44.94389958,a
65,A1736,0.0431,201.70297729338108,-27.14356917,201.71156429074188,-27.10915901,201.71306428881098,-27.13024776,77.11,-58.65167887,-37.77391087,-29.05244305,-77.17255595,85.22122847735251,-85.35882056,c
66,A2384,0.0943,328.0915275250129,-19.5468734,328.0891931,-19.56014107,328.08007477812885,-19.5531338,-60.52,-55.51537146,-56.47716105,-25.85330826,85.03295174237083,-77.84256906,-82.18577192,b
67,A4059,0.04908791,359.25292839381297,-34.75903725,359.2116241198358,-34.7945407,359.2506704308495,-34.74487005,62.39,82.640295,-71.59815686,24.53050475348156,52.59528142309348,53.910709809994344,73.88629293435092,a
74,A3836,0.11,332.33968198683016,-51.80717479,332.3382294405408,-51.80016449,332.34724342819965,-51.80677533,19.62,28.980119948418135,23.390612837617375,26.193337451918016,80.93718505378486,74.44643719440393,55.3952958,a
75,A2533,0.111,346.8082428765522,-15.22412172,346.8608934001597,-15.23108974,346.81490707701903,-15.20818852,-47.89,44.14674710234029,51.76929903718139,76.06697184112484,-48.67880143,-66.97221263,-72.36692269,a
