LoVoCCSID,cluster_name,bcg1_name,bcg1_ra,bcg1_dec,bcg1_z,bcg1_z_src,bcg1_pa,bcg1_pa_src,bcg1_vlass,bcg1_notes,bcg2_name,bcg2_ra,bcg2_dec,bcg2_z,bcg2_z_src,bcg2_pa,bcg2_pa_src,bcg2_vlass,bcg2_notes,bcg3_name,bcg3_ra,bcg3_dec,bcg3_z,bcg3_z_src,bcg3_pa,bcg3_pa_src,bcg3_vlass,bcg3_notes
61,A2443,,336.5329,17.3568,0.11,https://dev-rcsed2.voxastro.org/data/galaxy/4811816,50.7,RCSED,True,VLASS lumpy point,,336.5092,17.3798,0.110,https://ned.ipac.caltech.edu/byname?objname=SDSS+J222602.16%2B172246.9&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,True,VLASS jets,,,,,,,,,
63,A2050,,229.0749,0.0890,0.121,https://dev-rcsed2.voxastro.org/data/galaxy/83234,35.5,RCSED,False,,,,,,,,,,,,,,,,,,,
65,A1736,,201.7030,-27.1433,0.0458,https://dev-rcsed2.voxastro.org/data/galaxy/32530,152.2,RCSED,False,,,201.6937,-27.1189,0.0435,https://dev-rcsed2.voxastro.org/data/galaxy/32525,,,True,VLASS jets,,,,,,,,,
66A,A2384North,,328.0916,-19.5467,0.0939,https://dev-rcsed2.voxastro.org/data/galaxy/71270,46.0,RCSED,True,VLASS point faint,,,,,,,,,,,,,,,,,,
66B,A2384South,,328.0398,-19.7231,0.0957,https://dev-rcsed2.voxastro.org/data/galaxy/47044,12.8,RCSED,True,VLASS point,,,,,,,,,,,,,,,,,,
67,A4059,,359.2530,-34.7589,0.0491,https://dev-rcsed2.voxastro.org/data/galaxy/50564,154.9,RCSED,True,VLASS jets,,,,,,,,,,,,,,,,,,
74,A3836,,332.3396,-51.8072,0.109,https://ned.ipac.caltech.edu/byname?objname=WISEA%20J220921.52-514825.8,,,,,,,,,,,,,,,,,,,,,,
75,A2533,,346.8081,-15.2241,0.111,https://ned.ipac.caltech.edu/byname?objname=WISEA+J230713.97-151326.9&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,True,VLASS point; one NED redshift of 0.069,,,,,,,,,,,,,,,,,,
76,A2556,,348.2558,-21.6345,0.0882,https://dev-rcsed2.voxastro.org/data/galaxy/71305,127.5,RCSED,False,,,,,,,,,,,,,,,,,,,
80,A3126,,52.1492,-55.7118,0.0839,https://dev-rcsed2.voxastro.org/data/galaxy/8143,-23.5,RCSED,,Possibly interacting with BCG2; big low SB ICL-like feature,,52.1283,-55.7048,0.0861,https://dev-rcsed2.voxastro.org/data/galaxy/809638,7.0,,,ICL like feature between this and BCG1,,,,,,,,,
