LoVoCCSID,Name,start_ra,start_dec,MCXC_Redshift,MCXC_R500,MCXC_RA,MCXC_DEC,manual_xray_ra,manual_xray_dec
46B,A2440North,336.0633445,-1.5168531,0.0906,0.9716,335.97,-1.64,336.0633445,-1.5168531
46C,A2440South,335.948893,-1.6496155,0.0906,0.9716,335.97,-1.64,335.948893,-1.6496155
48A,A1644S,194.2874082,-17.4094601,0.0473,0.9944,194.2904167,-17.40027778,194.2874082,-17.4094601
48B,A1644N,194.4554884,-17.273181,0.0495,0.9944,194.2904167,-17.40027778,194.4554884,-17.273181
49,A1348,175.35,-12.27,0.1195,0.9548,175.35,-12.27,,
51,RBS 1847,334.5020972,-65.1814542,0.0951,0.9644,334.52,-65.19,334.5020972,-65.1814542
55,RXC J1215.4-3900,183.8578225,-39.027273,0.119,0.9489,183.87,-39.02,183.8578225,-39.027273
58,A2351,323.5682422,-13.4388891,0.0897,0.9604,323.57,-13.48,323.5682422,-13.4388891
60A,RXC J2218.2-0350 East,334.5726205,-3.8253647,0.0901,0.9526,334.57,-3.83,334.5726205,-3.8253647
60B,RXC J2218.2-0350 West,334.6666511,-3.7799255,0.0901,0.9526,334.57,-3.83,334.6666511,-3.7799255
61,A2443,336.5211488,17.365823,0.1072,0.9414,336.51,17.38,336.5211488,17.365823
63,A2050,229.08,0.1,0.1181,0.9337,229.08,0.1,,
65,A1736,201.725,-27.18333333,0.0458,0.9694,201.725,-27.18333333,,
66A,A2384North,328.0913274,-19.5461981,0.0943,0.9433,328.1,-19.57,328.0913274,-19.5461981
66B,A2384South,328.0326129,-19.7222214,0.0943,0.9433,328.1,-19.57,328.0326129,-19.7222214
67,A4059,359.26,-34.76,0.0475,0.964,359.26,-34.76,,
74,A3836,332.3470833,-51.815,0.1065,0.9239,332.3470833,-51.815,,
75,A2533,346.809618,-15.2239398,0.111,0.9215,346.81,-15.23,346.809618,-15.2239398
76,A2556,348.25,-21.63,0.0871,0.9286,348.25,-21.63,,
80,A3126,52.16,-55.71,0.0853,0.9243,52.16,-55.71,,
85,RXC J0049.4-2931,12.35,-29.52444444,0.1084,0.9086,12.35,-29.52444444,,
89,A2554,348.0798885,-21.5040975,0.1108,0.9065,348.09,-21.5,348.0798885,-21.5040975
90,A2033,227.8621045,6.3492767,0.0817,0.9183,227.85,6.32,227.8621045,6.3492767
93A,A3395North,96.867142,-54.4387329,0.0506,0.9298,96.81,-54.47,96.867142,-54.4387329
93B,A3395South,96.6878437,-54.5390924,0.0506,0.9298,96.81,-54.47,96.6878437,-54.5390924
94,A1606,191.1496588,-11.9931364,0.0963,0.9066,191.1583333,-11.98527778,191.1496588,-11.9931364
98,A2670,358.56,-10.41,0.0765,0.9113,358.56,-10.41,,
99,A3532,194.3335664,-30.362907,0.0554,0.9201,194.3204167,-30.37694444,194.3335664,-30.362907
108,RXC J1139.4-3327,174.86,-33.45,0.1076,0.8789,174.86,-33.45,,
119,RX J0820.9+0751/RXC J0821.0+0751,125.258665,7.8635007,0.11,0.8614,125.26,7.87,125.258665,7.8635007
121,A3128,52.4661895,-52.5807281,0.0624,0.8831,52.5,-52.6,52.4661895,-52.5807281
122,A1023,157.0,-6.8,0.1176,0.8553,157.0,-6.8,,
123,A3528,193.67,-29.22,0.0544,0.8855,193.67,-29.22,,
131,A761,137.65125,-10.58111111,0.0916,0.8627,137.65125,-10.58111111,,
134,A3825,329.6046823,-60.4136762,0.075,0.8685,329.61,-60.4,329.6046823,-60.4136762
